Category,Food Name,Calorie (kcal),Carbs (g),Protein (g),Fat (g),Water (g),Ash (g)
穀物類,"大麥仁",364.6228,77.1418,8.5578,1.5935,11.6693,1.0376
穀物類,"大麥片",364.6155,76.6666,8.636,1.79,12.09,0.8174
穀物類,"大麥仁粉",388.8475,84.9554,7.118,1.3142,5.733,0.8794
穀物類,"小米",370.1938,71.6907,11.3135,3.655,12.26,1.0808
穀物類,"糯小米",360.1972,72.5162,12.465,1.5164,12.864,0.6384
穀物類,"小麥",361.6418,69.1678,14.118,2.565,12.63,1.5192
穀物類,"小麥胚芽",417.0033,47.9154,31.362,11.585,4.23,4.9076
穀物類,"去筋麵粉",354.9493,85.7443,0.181,0.1165,13.643,0.3152
穀物類,"低筋麵粉",363.6075,78.1938,8.0855,1.175,12.045,0.5007
穀物類,"中筋麵粉",361.0283,74.0972,11.4535,1.31,12.635,0.5043
穀物類,"高筋麵粉",361.5771,73.0587,12.945,1.19,12.25,0.5563
穀物類,"高筋麵粉(2021年取樣)",362.2052,72.2213,13.805,1.2755,12.34,0.3582
穀物類,"全麥麵粉",359.2716,71.429,12.968,1.706,12.736,1.161
穀物類,"雜糧中筋麵粉",360.9425,71.978,13.113,2.2865,11.652,0.9705
穀物類,"雜糧高筋麵粉",360.2967,69.589,14.288,2.7543,12.421,0.9477
穀物類,"白玉米",65.8248,11.45,3.4,0.64,83.8,0.71
穀物類,"紫玉米",167.894,34.4208,4.461,1.032,59.444,0.6422
穀物類,"甜玉米",106.9033,17.8305,3.25,2.4772,75.7316,0.7107
穀物類,"雙色水果玉米",105.403,17.4564,3.104,2.5503,76.243,0.6463
穀物類,"糯玉米",172.1804,33.4494,4.727,1.898,59.066,0.8596
穀物類,"冷凍玉米粒",173.5786,22.53,3.1,8.2,65.6,0.57
穀物類,"乾玉米粒",373.0182,72.2077,10.8765,3.9421,11.9235,1.0502
穀物類,"玉米胚芽",365.8851,80.3116,7.035,0.8954,11.48,0.278
穀物類,"玉米粉",368.578,88.3084,0.323,0.4163,10.87,0.0823
穀物類,"秈米平均值",356.5641,77.3827,7.823,0.8554,13.4388,0.5002
穀物類,"秈米(台中在來2號)",354.788,76.3,8.2,1,13.9,0.6
穀物類,"秈米(台中秈10號)",358.3403,78.4653,7.446,0.7108,12.9775,0.4004
穀物類,"秈米(台中秈10號)(2024年取樣)",357.3916,79.8055,6.114,0.56,12.99,0.5305
穀物類,"稉米平均值",353.9518,77.8224,7.0319,0.6964,14.082,0.3673
穀物類,"稉米(台中189號)",355.6145,78.0588,7.5,0.56,13.54,0.3412
穀物類,"稉米(台南11號)",348.3469,77.1738,6.741,0.4819,15.386,0.2173
穀物類,"稉米(台稉2號)",356.7255,78.7163,7.205,0.5069,13.2077,0.3641
穀物類,"稉米(台稉8號)",355.2428,78.8316,6.928,0.4024,13.502,0.336
穀物類,"稉米(台稉9號)",353.2311,78.2041,6.58,0.6335,14.3045,0.2779
穀物類,"稉米(台農71號)",356.6444,77.7507,7.9183,0.6393,13.3133,0.3784
穀物類,"稉米(高雄139號)",357.2448,78.4933,6.1225,1.1844,13.6828,0.517
穀物類,"稉米(高雄142號)",352.516,77.7,7,0.6,14.3,0.4
穀物類,"稉米(高雄145號)",364.4454,80.0453,6.768,0.9792,11.819,0.3885
穀物類,"稉米(高雄139號)(2021年取樣)",352.2554,79.1833,5.666,0.4619,14.406,0.2828
穀物類,"越光米",339.5073,73.25,7.556,0.9765,17.765,0.4525
穀物類,"越光米(台南16號)(2024年取樣)",355.8933,79.1176,6.948,0.33,13.27,0.3344
穀物類,"秈型糯米(台中糯70號)",361.3604,78.439,7.8625,0.89,12.355,0.4535
穀物類,"稉型糯米平均值",358.1558,77.418,8.29,0.81,13.142,0.34
穀物類,"稉型糯米",358.6265,78.036,8.38,0.52,12.784,0.28
穀物類,"稉型糯米(台稉糯1號)",357.685,76.8,8.2,1.1,13.5,0.4
穀物類,"野生紅米",359.713,74.7352,7.693,2.5955,13.695,1.2813
穀物類,"紅糯糙米",361.6964,72.5936,9.92,2.8463,13.133,1.5071
穀物類,"黑秈糯糙米",357.4076,70.1026,10.1235,3.465,14.81,1.4989
穀物類,"胚芽秈米(台中秈10號)",363.0183,76.0519,8.272,2.0718,12.3405,1.2638
穀物類,"胚芽稉米平均值",361.7421,76.833,8.1985,1.5692,12.669,0.7304
穀物類,"胚芽稉米(台稉10號）",360.3746,77.1722,7.28,1.6679,13.072,0.8079
穀物類,"胚芽稉米(台稉9號)",363.1096,76.4937,9.117,1.4705,12.266,0.6528
穀物類,"發芽稉米平均值",354.9414,73.9857,7.798,2.3453,14.8175,1.0535
穀物類,"發芽稉米(台稉71號)",356.7383,73.8638,7.406,2.8031,14.828,1.0991
穀物類,"發芽稉米(台稉9號）",353.1446,74.1076,8.19,1.8875,14.807,1.0079
穀物類,"糙秈米",358.7368,73.6444,7.285,3.2064,14.373,1.4912
穀物類,"糙稉米平均值",364.2759,76.6276,7.436,2.3292,12.506,1.1012
穀物類,"糙稉米(台稉71號)",360.3815,73.6494,8.955,2.6203,13.595,1.1803
穀物類,"糙稉米(台稉9號)",364.2759,76.6276,7.436,2.3292,12.506,1.1012
穀物類,"黑秈糙米",363.0816,74.035,7.455,3.4538,13.65,1.4062
穀物類,"加鈣米",355.0521,77.68,7.37,0.74,13.62,0.59
穀物類,"高纖米",362.7227,75.1674,8.276,2.47,12.84,1.2466
穀物類,"五穀米",358.2847,72.9163,8.695,2.8521,14.275,1.2616
穀物類,"米胚芽",390.9448,52.8858,17.024,12.723,11.433,5.9342
穀物類,"秈米粉",363.2489,83.3658,4.157,0.4215,11.853,0.2027
穀物類,"糙米粉",392.739,78.1,11.3,3.2,5.9,1.5
穀物類,"白糯米粉",359.895,82.3007,4.505,0.3825,12.587,0.2248
穀物類,"白飯",183.1356,41.01,3.09,0.25,55.56,0.09
穀物類,"高梁",371.8047,73.6032,11.0165,3.0448,11.273,1.0625
穀物類,"糯高梁",362.3257,75.6852,10.69,1.04,12.06,0.5248
穀物類,"黑麥片",359.2458,77.3014,7.784,1.234,12.469,1.2116
穀物類,"燕麥",406.0363,67.4401,10.9165,10.215,9.975,1.4534
穀物類,"燕麥片",393.374,64.1,12.3,9.7,10.1,3.8
穀物類,"即食燕麥片",406.2506,67.8638,11.909,9.5684,9.12,1.5388
穀物類,"蕎麥(甜蕎)",360.8428,71.2715,11.037,2.8733,13.2433,1.5749
穀物類,"薏仁",378.4899,66.2196,14.0733,6.05,11.5367,2.1204
穀物類,"糙薏仁",386.8506,65.9182,13.702,7.3707,11.0093,1.9998
穀物類,"薏仁粉",394.795,79.99,10.89,3.475,4.67,0.975
穀物類,"紅藜麥",378.927,66.7713,12.134,6.7366,12.206,2.1521
穀物類,"台灣藜(紅)(帶殼)",385.5813,62.3071,14.872,8.45,8.67,5.7009
澱粉類,"淮山",362.8352,82.3519,5.294,0.34,11.22,0.7941
澱粉類,"山藥平均值",85.3829,17.8241,2.8187,0.1107,78.2907,0.9558
澱粉類,"山藥(二刺)",89.1922,18.8787,2.732,0.0872,77.4,0.9021
澱粉類,"山藥(大汕1號)",79.951,16.9691,2.407,0.0749,79.641,0.908
澱粉類,"山藥(大汕3號)",72.683,14.965,2.649,0.08,81.319,0.987
澱粉類,"山藥(大刺)",84.6262,17.0539,3.523,0.0704,78.349,1.0037
澱粉類,"山藥(中國長品)",74.1359,15.479,2.452,0.0926,81.016,0.9604
澱粉類,"山藥(台農1號)",93.3841,19.9388,2.595,0.1302,76.519,0.817
澱粉類,"山藥(台農2號)",94.8985,19.8694,3.207,0.0594,75.619,1.2452
